variable_name,value_value,value_label,avail_from_dt,table_name
perid,-9,Refused,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
perid,-8,Don't know,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
perid,-1,Not applicable,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iintdatm,-9,Refused,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iintdatm,-8,Don't know,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iintdatm,-1,Not applicable,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iintdatm,1,January,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iintdatm,2,February,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iintdatm,3,March,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iintdatm,4,April,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iintdatm,5,May,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iintdatm,6,June,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iintdatm,7,July,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iintdatm,8,August,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iintdatm,9,September,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iintdatm,10,October,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iintdatm,11,November,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iintdatm,12,December,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iabebc,-9,Refused,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iabebc,-8,Don't Know,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iabebc,-1,Not applicable,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iabebc,1,Yes,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iabebc,2,No,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iabenuc,-9,Refused,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iabenuc,-8,Don't Know,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iabenuc,-1,Not applicable,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iabenuc,0,Not mentioned,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iabenuc,1,Mentioned,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iabenis,-9,Refused,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iabenis,-8,Don't Know,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iabenis,-1,Not applicable,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iabenis,0,Not mentioned,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iabenis,1,Mentioned,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iabenpc,-9,Refused,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iabenpc,-8,Don't Know,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iabenpc,-1,Not applicable,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iabenpc,0,Not mentioned,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iabenpc,1,Mentioned,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
iabentc,-9,Refused,2021-12-27 21:51:02.467,wave_9_elsa_data_eul_ia2_v0001_20211101
